Entity,Code_x,Year_x,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_x,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_x,change in depression,change in suicide,,Year_y,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_y,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_y,population,Continent_y
Namibia,NAM,1990,17.72248602,3363.724681,-0.021924428,-1.235082995,,2017,11.81252592,3343.812791,2402623,
Nauru,NRU,1990,,,#DIV/0!,#DIV/0!,,2017,,,10577,
Nepal,NPL,1990,11.83905645,3500.530005,0.014313154,-1.085250255,,2017,8.370004911,3514.057984,27632682,
Netherlands,NLD,1990,10.9472164,3729.787803,-0.057326816,-0.60157698,,2017,9.169106187,3672.057251,17021343,
Netherlands Antilles,ANT,1990,,,#DIV/0!,#DIV/0!,,2017,,,321292,
New Caledonia,NCL,1990,,,#DIV/0!,#DIV/0!,,2017,,,277159,
New Zealand,NZL,1990,13.1414703,3716.814484,-0.187239611,-0.520018463,,2017,11.29634236,3528.912062,4702029,
Nicaragua,NIC,1990,7.183216248,2679.673737,0.028331033,-0.680939633,,2017,5.862555356,2700.171577,6384843,
Niger,NER,1990,7.800238469,3390.761275,0.0335501,-0.078716142,,2017,7.634457206,3421.476578,21602388,
Nigeria,NGA,1990,8.515573365,3908.512342,-0.049628576,-0.424326418,,2017,7.539960024,3856.139389,190873247,
Niue,NIU,1990,,,#DIV/0!,#DIV/0!,,2017,,,1612,
North Africa and Middle East,,1990,5.713610789,3833.149696,-0.02703272,-0.644851025,,2017,4.71881529,3805.172171,,
North America,,1990,12.21712482,4217.040912,0.093501692,0.128339674,,2017,12.64046911,4323.502036,578582963,
North Korea,PRK,1990,12.5381619,3104.715857,-0.17016335,-0.434663928,,2017,11.06669249,2962.072467,25429816,
North Macedonia,MKD,1990,8.351007076,2318.204139,-0.164407186,-0.696841125,,2017,6.779789281,2215.299196,2081996,
Northern Ireland,,1990,9.989942865,3900.745901,-0.101779195,-0.164285038,,2017,9.546819365,3793.551911,,
Northern Mariana Islands,MNP,1990,12.06139995,2816.583095,0.187588394,0.029592017,,2017,12.15776866,2959.239836,56553,
Norway,NOR,1990,15.0112804,3604.910325,-0.142761509,-1.416829305,,2017,9.268806468,3465.956867,5296324,
Oceania,,1990,24.49374109,3101.947491,0.011143149,-0.518492843,,2017,21.06478714,3111.280166,41006479,
Oman,OMN,1990,3.714152854,3389.075075,-0.103507164,-0.794746942,,2017,2.917163716,3294.360817,4665926,
Pakistan,PAK,1990,4.100183749,3370.607593,-0.148792692,0.31413579,,2017,4.447947653,3235.196713,207906210,
Palau,PLW,1990,,,#DIV/0!,#DIV/0!,,2017,,,17809,
Palestine,PSE,1990,5.341810937,4607.812443,-0.119046454,-1.244480857,,2017,3.546909945,4459.705635,4747233,
Panama,PAN,1990,5.369529263,2556.255764,-0.032403823,-0.269316728,,2017,4.979081169,2533.891,4106764,
Papua New Guinea,PNG,1990,29.09286579,3125.39764,-0.003087326,-0.766194344,,2017,23.0743527,3122.792377,8438038,
Paraguay,PRY,1990,3.778056012,2691.560205,0.210102602,1.936062264,,2017,5.752984965,2844.246232,6867058,
Peru,PER,1990,4.232323411,2307.321256,-0.186165683,-0.957026326,,2017,3.138703281,2191.344366,31444299,
Philippines,PHL,1990,13.25217493,2911.64643,-0.288748574,-2.024686451,,2017,6.007670191,2684.648316,105172921,
Poland,POL,1990,13.56554564,2132.695654,-0.038996778,0.104456999,,2017,13.94814001,2110.240224,37953176,
Portugal,PRT,1990,14.00377246,4409.363388,-0.294627076,-1.670473883,,2017,7.687679698,4058.601571,10288527,
Puerto Rico,PRI,1990,10.04469548,2654.71065,-0.118354404,-1.458417615,,2017,6.089368058,2569.877542,3163676,
Qatar,QAT,1990,7.510249607,3512.867261,-0.241499891,-1.415497106,,2017,4.639950729,3283.810855,2724727,
Reunion,REU,1990,,,#DIV/0!,#DIV/0!,,2017,,,876131,
Romania,ROU,1990,9.466526494,2279.916044,-0.052095836,-0.120465206,,2017,9.158621987,2247.847028,19653966,
Russia,RUS,1990,28.3210154,3577.230949,-0.100324112,-0.422843516,,2017,25.08766881,3480.332669,145530091,
